Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41700;Bezirk Vöcklabruck                   ;100.718; 	52.168 ; 	51,80 ; 	1.420 ; 	2,72 ; 	50.748 ; 	97,28 ; 	10.994 ; 	21,66 ; 	15.776 ; 	31,09 ; 	9.005 ; 	17,74 ; 	4.346 ; 	8,56 ; 	7.963 ; 	15,69 ; 	274 ; 	0,54 ; 	299 ; 	0,59 ; 	2.091 ; 	4,12 ;6/7/09;6/7/09;6/15/09;6/15/09
41701;Ampflwang im Hausruckwald     ;2.800; 	1.434 ; 	51,21 ; 	44 ; 	3,07 ; 	1.390 ; 	96,93 ; 	550 ; 	39,57 ; 	212 ; 	15,25 ; 	260 ; 	18,71 ; 	62 ; 	4,46 ; 	227 ; 	16,33 ; 	11 ; 	0,79 ; 	4 ; 	0,29 ; 	64 ; 	4,60 ;6/7/09;6/7/09;6/7/09;6/7/09
41702;Attersee                      ;1.287; 	648 ; 	50,35 ; 	14 ; 	2,16 ; 	634 ; 	97,84 ; 	137 ; 	21,61 ; 	206 ; 	32,49 ; 	104 ; 	16,40 ; 	61 ; 	9,62 ; 	89 ; 	14,04 ; 	3 ; 	0,47 ; 	4 ; 	0,63 ; 	30 ; 	4,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41703;Attnang-Puchheim              ;6.355; 	2.939 ; 	46,25 ; 	79 ; 	2,69 ; 	2.860 ; 	97,31 ; 	918 ; 	32,10 ; 	521 ; 	18,22 ; 	536 ; 	18,74 ; 	231 ; 	8,08 ; 	523 ; 	18,29 ; 	16 ; 	0,56 ; 	20 ; 	0,70 ; 	95 ; 	3,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41704;Atzbach                       ;929; 	552 ; 	59,42 ; 	21 ; 	3,80 ; 	531 ; 	96,20 ; 	40 ; 	7,53 ; 	241 ; 	45,39 ; 	84 ; 	15,82 ; 	44 ; 	8,29 ; 	95 ; 	17,89 ; 	3 ; 	0,56 ; 	3 ; 	0,56 ; 	21 ; 	3,95 ;6/7/09;6/7/09;6/7/09;6/7/09
41705;Aurach am Hongar              ;1.250; 	640 ; 	51,20 ; 	25 ; 	3,91 ; 	615 ; 	96,09 ; 	149 ; 	24,23 ; 	165 ; 	26,83 ; 	122 ; 	19,84 ; 	27 ; 	4,39 ; 	120 ; 	19,51 ; 	3 ; 	0,49 ; 	2 ; 	0,33 ; 	27 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41706;Berg im Attergau              ;784; 	414 ; 	52,81 ; 	12 ; 	2,90 ; 	402 ; 	97,10 ; 	30 ; 	7,46 ; 	225 ; 	55,97 ; 	56 ; 	13,93 ; 	19 ; 	4,73 ; 	52 ; 	12,94 ; 	1 ; 	0,25 ; 	3 ; 	0,75 ; 	16 ; 	3,98 ;6/7/09;6/7/09;6/7/09;6/7/09
41707;Desselbrunn                   ;1.301; 	784 ; 	60,26 ; 	20 ; 	2,55 ; 	764 ; 	97,45 ; 	170 ; 	22,25 ; 	286 ; 	37,43 ; 	109 ; 	14,27 ; 	34 ; 	4,45 ; 	133 ; 	17,41 ; 	7 ; 	0,92 ; 	2 ; 	0,26 ; 	23 ; 	3,01 ;6/7/09;6/7/09;6/7/09;6/7/09
41708;Fornach                       ;733; 	387 ; 	52,80 ; 	10 ; 	2,58 ; 	377 ; 	97,42 ; 	42 ; 	11,14 ; 	164 ; 	43,50 ; 	58 ; 	15,38 ; 	18 ; 	4,77 ; 	81 ; 	21,49 ; 	2 ; 	0,53 ; 	1 ; 	0,27 ; 	11 ; 	2,92 ;6/7/09;6/7/09;6/7/09;6/7/09
41709;Frankenburg am Hausruck       ;3.981; 	2.135 ; 	53,63 ; 	89 ; 	4,17 ; 	2.046 ; 	95,83 ; 	520 ; 	25,42 ; 	497 ; 	24,29 ; 	357 ; 	17,45 ; 	120 ; 	5,87 ; 	484 ; 	23,66 ; 	9 ; 	0,44 ; 	14 ; 	0,68 ; 	45 ; 	2,20 ;6/7/09;6/7/09;6/7/09;6/7/09
41710;Frankenmarkt                  ;2.703; 	1.288 ; 	47,65 ; 	31 ; 	2,41 ; 	1.257 ; 	97,59 ; 	229 ; 	18,22 ; 	437 ; 	34,77 ; 	230 ; 	18,30 ; 	75 ; 	5,97 ; 	215 ; 	17,10 ; 	10 ; 	0,80 ; 	6 ; 	0,48 ; 	55 ; 	4,38 ;6/7/09;6/7/09;6/7/09;6/7/09
41711;Gampern                       ;2.042; 	941 ; 	46,08 ; 	39 ; 	4,14 ; 	902 ; 	95,86 ; 	160 ; 	17,74 ; 	329 ; 	36,47 ; 	155 ; 	17,18 ; 	63 ; 	6,98 ; 	136 ; 	15,08 ; 	7 ; 	0,78 ; 	7 ; 	0,78 ; 	45 ; 	4,99 ;6/7/09;6/7/09;6/7/09;6/7/09
41712;Innerschwand                  ;828; 	425 ; 	51,33 ; 	10 ; 	2,35 ; 	415 ; 	97,65 ; 	36 ; 	8,67 ; 	236 ; 	56,87 ; 	57 ; 	13,73 ; 	30 ; 	7,23 ; 	44 ; 	10,60 ; 	0 ; 	0 ; 	5 ; 	1,20 ; 	7 ; 	1,69 ;6/7/09;6/7/09;6/7/09;6/7/09
41713;Lenzing                       ;4.042; 	1.990 ; 	49,23 ; 	42 ; 	2,11 ; 	1.948 ; 	97,89 ; 	726 ; 	37,27 ; 	193 ; 	9,91 ; 	471 ; 	24,18 ; 	100 ; 	5,13 ; 	356 ; 	18,28 ; 	12 ; 	0,62 ; 	9 ; 	0,46 ; 	81 ; 	4,16 ;6/7/09;6/7/09;6/7/09;6/7/09
41714;Manning                       ;654; 	380 ; 	58,10 ; 	8 ; 	2,11 ; 	372 ; 	97,89 ; 	55 ; 	14,78 ; 	146 ; 	39,25 ; 	61 ; 	16,40 ; 	40 ; 	10,75 ; 	35 ; 	9,41 ; 	4 ; 	1,08 ; 	2 ; 	0,54 ; 	29 ; 	7,80 ;6/7/09;6/7/09;6/7/09;6/7/09
41715;Mondsee                       ;2.364; 	990 ; 	41,88 ; 	11 ; 	1,11 ; 	979 ; 	98,89 ; 	143 ; 	14,61 ; 	401 ; 	40,96 ; 	169 ; 	17,26 ; 	111 ; 	11,34 ; 	99 ; 	10,11 ; 	4 ; 	0,41 ; 	6 ; 	0,61 ; 	46 ; 	4,70 ;6/7/09;6/7/09;6/7/09;6/7/09
41716;Neukirchen an der Vöckla      ;1.982; 	1.033 ; 	52,12 ; 	37 ; 	3,58 ; 	996 ; 	96,42 ; 	168 ; 	16,87 ; 	354 ; 	35,54 ; 	130 ; 	13,05 ; 	78 ; 	7,83 ; 	217 ; 	21,79 ; 	7 ; 	0,70 ; 	3 ; 	0,30 ; 	39 ; 	3,92 ;6/7/09;6/7/09;6/7/09;6/7/09
41717;Niederthalheim                ;823; 	442 ; 	53,71 ; 	17 ; 	3,85 ; 	425 ; 	96,15 ; 	43 ; 	10,12 ; 	185 ; 	43,53 ; 	64 ; 	15,06 ; 	37 ; 	8,71 ; 	79 ; 	18,59 ; 	1 ; 	0,24 ; 	3 ; 	0,71 ; 	13 ; 	3,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41718;Nußdorf am Attersee           ;858; 	461 ; 	53,73 ; 	5 ; 	1,08 ; 	456 ; 	98,92 ; 	46 ; 	10,09 ; 	173 ; 	37,94 ; 	94 ; 	20,61 ; 	37 ; 	8,11 ; 	70 ; 	15,35 ; 	3 ; 	0,66 ; 	4 ; 	0,88 ; 	29 ; 	6,36 ;6/7/09;6/7/09;6/7/09;6/7/09
41719;Oberhofen am Irrsee           ;1.140; 	545 ; 	47,81 ; 	18 ; 	3,30 ; 	527 ; 	96,70 ; 	82 ; 	15,56 ; 	235 ; 	44,59 ; 	74 ; 	14,04 ; 	26 ; 	4,93 ; 	79 ; 	14,99 ; 	2 ; 	0,38 ; 	1 ; 	0,19 ; 	28 ; 	5,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41720;Oberndorf bei Schwanenstadt   ;1.112; 	573 ; 	51,53 ; 	10 ; 	1,75 ; 	563 ; 	98,25 ; 	120 ; 	21,31 ; 	161 ; 	28,60 ; 	103 ; 	18,29 ; 	46 ; 	8,17 ; 	93 ; 	16,52 ; 	2 ; 	0,36 ; 	6 ; 	1,07 ; 	32 ; 	5,68 ;6/7/09;6/7/09;6/7/09;6/7/09
41721;Oberwang                      ;1.234; 	603 ; 	48,87 ; 	20 ; 	3,32 ; 	583 ; 	96,68 ; 	31 ; 	5,32 ; 	364 ; 	62,44 ; 	81 ; 	13,89 ; 	14 ; 	2,40 ; 	76 ; 	13,04 ; 	0 ; 	0 ; 	1 ; 	0,17 ; 	16 ; 	2,74 ;6/7/09;6/7/09;6/7/09;6/7/09
41722;Ottnang am Hausruck           ;3.036; 	1.418 ; 	46,71 ; 	41 ; 	2,89 ; 	1.377 ; 	97,11 ; 	314 ; 	22,80 ; 	393 ; 	28,54 ; 	262 ; 	19,03 ; 	82 ; 	5,95 ; 	223 ; 	16,19 ; 	6 ; 	0,44 ; 	11 ; 	0,80 ; 	86 ; 	6,25 ;6/7/09;6/7/09;6/7/09;6/7/09
41723;Pfaffing                      ;1.089; 	517 ; 	47,47 ; 	17 ; 	3,29 ; 	500 ; 	96,71 ; 	114 ; 	22,80 ; 	151 ; 	30,20 ; 	81 ; 	16,20 ; 	41 ; 	8,20 ; 	79 ; 	15,80 ; 	1 ; 	0,20 ; 	8 ; 	1,60 ; 	25 ; 	5,00 ;6/7/09;6/7/09;6/7/09;6/7/09
41724;Pilsbach                      ;508; 	317 ; 	62,40 ; 	9 ; 	2,84 ; 	308 ; 	97,16 ; 	64 ; 	20,78 ; 	133 ; 	43,18 ; 	49 ; 	15,91 ; 	26 ; 	8,44 ; 	28 ; 	9,09 ; 	0 ; 	0 ; 	2 ; 	0,65 ; 	6 ; 	1,95 ;6/7/09;6/7/09;6/7/09;6/7/09
41725;Pitzenberg                    ;405; 	238 ; 	58,77 ; 	5 ; 	2,10 ; 	233 ; 	97,90 ; 	39 ; 	16,74 ; 	76 ; 	32,62 ; 	35 ; 	15,02 ; 	18 ; 	7,73 ; 	50 ; 	21,46 ; 	0 ; 	0 ; 	3 ; 	1,29 ; 	12 ; 	5,15 ;6/7/09;6/7/09;6/7/09;6/7/09
41726;Pöndorf                       ;1.823; 	770 ; 	42,24 ; 	24 ; 	3,12 ; 	746 ; 	96,88 ; 	147 ; 	19,71 ; 	262 ; 	35,12 ; 	143 ; 	19,17 ; 	36 ; 	4,83 ; 	130 ; 	17,43 ; 	0 ; 	0 ; 	2 ; 	0,27 ; 	26 ; 	3,49 ;6/7/09;6/7/09;6/7/09;6/7/09
41727;Puchkirchen am Trattberg      ;767; 	452 ; 	58,93 ; 	8 ; 	1,77 ; 	444 ; 	98,23 ; 	71 ; 	15,99 ; 	166 ; 	37,39 ; 	64 ; 	14,41 ; 	42 ; 	9,46 ; 	77 ; 	17,34 ; 	3 ; 	0,68 ; 	0 ; 	0 ; 	21 ; 	4,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41728;Pühret                        ;482; 	282 ; 	58,51 ; 	14 ; 	4,96 ; 	268 ; 	95,04 ; 	46 ; 	17,16 ; 	113 ; 	42,16 ; 	38 ; 	14,18 ; 	17 ; 	6,34 ; 	47 ; 	17,54 ; 	2 ; 	0,75 ; 	0 ; 	0 ; 	5 ; 	1,87 ;6/7/09;6/7/09;6/7/09;6/7/09
41729;Redleiten                     ;376; 	194 ; 	51,60 ; 	5 ; 	2,58 ; 	189 ; 	97,42 ; 	31 ; 	16,40 ; 	76 ; 	40,21 ; 	32 ; 	16,93 ; 	5 ; 	2,65 ; 	32 ; 	16,93 ; 	0 ; 	0 ; 	1 ; 	0,53 ; 	12 ; 	6,35 ;6/7/09;6/7/09;6/7/09;6/7/09
41730;Redlham                       ;1.138; 	617 ; 	54,22 ; 	32 ; 	5,19 ; 	585 ; 	94,81 ; 	125 ; 	21,37 ; 	185 ; 	31,62 ; 	108 ; 	18,46 ; 	51 ; 	8,72 ; 	84 ; 	14,36 ; 	1 ; 	0,17 ; 	1 ; 	0,17 ; 	30 ; 	5,13 ;6/7/09;6/7/09;6/7/09;6/7/09
41731;Regau                         ;4.717; 	2.217 ; 	47,00 ; 	70 ; 	3,16 ; 	2.147 ; 	96,84 ; 	477 ; 	22,22 ; 	525 ; 	24,45 ; 	437 ; 	20,35 ; 	209 ; 	9,73 ; 	388 ; 	18,07 ; 	14 ; 	0,65 ; 	6 ; 	0,28 ; 	91 ; 	4,24 ;6/7/09;6/7/09;6/7/09;6/7/09
41732;Rüstorf                       ;1.580; 	746 ; 	47,22 ; 	19 ; 	2,55 ; 	727 ; 	97,45 ; 	190 ; 	26,13 ; 	199 ; 	27,37 ; 	139 ; 	19,12 ; 	46 ; 	6,33 ; 	123 ; 	16,92 ; 	7 ; 	0,96 ; 	1 ; 	0,14 ; 	22 ; 	3,03 ;6/7/09;6/7/09;6/7/09;6/7/09
41733;Rutzenham                     ;205; 	127 ; 	61,95 ; 	3 ; 	2,36 ; 	124 ; 	97,64 ; 	8 ; 	6,45 ; 	58 ; 	46,77 ; 	17 ; 	13,71 ; 	21 ; 	16,94 ; 	14 ; 	11,29 ; 	1 ; 	0,81 ; 	0 ; 	0 ; 	5 ; 	4,03 ;6/7/09;6/7/09;6/7/09;6/7/09
41734;St.Georgen im Attergau        ;3.007; 	1.343 ; 	44,66 ; 	43 ; 	3,20 ; 	1.300 ; 	96,80 ; 	179 ; 	13,77 ; 	387 ; 	29,77 ; 	272 ; 	20,92 ; 	86 ; 	6,62 ; 	282 ; 	21,69 ; 	6 ; 	0,46 ; 	8 ; 	0,62 ; 	80 ; 	6,15 ;6/7/09;6/7/09;6/7/09;6/7/09
41735;St.Lorenz                     ;1.674; 	721 ; 	43,07 ; 	15 ; 	2,08 ; 	706 ; 	97,92 ; 	82 ; 	11,61 ; 	323 ; 	45,75 ; 	115 ; 	16,29 ; 	82 ; 	11,61 ; 	68 ; 	9,63 ; 	2 ; 	0,28 ; 	3 ; 	0,42 ; 	31 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41736;Schlatt                       ;1.037; 	520 ; 	50,14 ; 	16 ; 	3,08 ; 	504 ; 	96,92 ; 	97 ; 	19,25 ; 	165 ; 	32,74 ; 	111 ; 	22,02 ; 	36 ; 	7,14 ; 	70 ; 	13,89 ; 	3 ; 	0,60 ; 	1 ; 	0,20 ; 	21 ; 	4,17 ;6/7/09;6/7/09;6/7/09;6/7/09
41737;Schörfling am Attersee        ;2.642; 	1.200 ; 	45,42 ; 	28 ; 	2,33 ; 	1.172 ; 	97,67 ; 	299 ; 	25,51 ; 	292 ; 	24,91 ; 	192 ; 	16,38 ; 	114 ; 	9,73 ; 	199 ; 	16,98 ; 	7 ; 	0,60 ; 	7 ; 	0,60 ; 	62 ; 	5,29 ;6/7/09;6/7/09;6/7/09;6/7/09
41738;Schwanenstadt                 ;3.072; 	1.505 ; 	48,99 ; 	22 ; 	1,46 ; 	1.483 ; 	98,54 ; 	317 ; 	21,38 ; 	395 ; 	26,64 ; 	243 ; 	16,39 ; 	172 ; 	11,60 ; 	274 ; 	18,48 ; 	6 ; 	0,40 ; 	12 ; 	0,81 ; 	64 ; 	4,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41739;Seewalchen am Attersee        ;4.153; 	1.963 ; 	47,27 ; 	59 ; 	3,01 ; 	1.904 ; 	96,99 ; 	415 ; 	21,80 ; 	472 ; 	24,79 ; 	381 ; 	20,01 ; 	171 ; 	8,98 ; 	365 ; 	19,17 ; 	15 ; 	0,79 ; 	14 ; 	0,74 ; 	71 ; 	3,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41740;Steinbach am Attersee         ;687; 	427 ; 	62,15 ; 	6 ; 	1,41 ; 	421 ; 	98,59 ; 	75 ; 	17,81 ; 	178 ; 	42,28 ; 	77 ; 	18,29 ; 	33 ; 	7,84 ; 	42 ; 	9,98 ; 	1 ; 	0,24 ; 	3 ; 	0,71 ; 	12 ; 	2,85 ;6/7/09;6/7/09;6/7/09;6/7/09
41741;Straß im Attergau             ;1.107; 	517 ; 	46,70 ; 	21 ; 	4,06 ; 	496 ; 	95,94 ; 	53 ; 	10,69 ; 	232 ; 	46,77 ; 	74 ; 	14,92 ; 	27 ; 	5,44 ; 	90 ; 	18,15 ; 	4 ; 	0,81 ; 	2 ; 	0,40 ; 	14 ; 	2,82 ;6/7/09;6/7/09;6/7/09;6/7/09
41742;Tiefgraben                    ;2.710; 	1.076 ; 	39,70 ; 	25 ; 	2,32 ; 	1.051 ; 	97,68 ; 	112 ; 	10,66 ; 	467 ; 	44,43 ; 	189 ; 	17,98 ; 	91 ; 	8,66 ; 	137 ; 	13,04 ; 	8 ; 	0,76 ; 	9 ; 	0,86 ; 	38 ; 	3,62 ;6/7/09;6/7/09;6/7/09;6/7/09
41743;Timelkam                      ;4.563; 	2.243 ; 	49,16 ; 	62 ; 	2,76 ; 	2.181 ; 	97,24 ; 	664 ; 	30,44 ; 	439 ; 	20,13 ; 	442 ; 	20,27 ; 	186 ; 	8,53 ; 	333 ; 	15,27 ; 	7 ; 	0,32 ; 	11 ; 	0,50 ; 	99 ; 	4,54 ;6/7/09;6/7/09;6/7/09;6/7/09
41744;Ungenach                      ;1.110; 	640 ; 	57,66 ; 	22 ; 	3,44 ; 	618 ; 	96,56 ; 	71 ; 	11,49 ; 	296 ; 	47,90 ; 	74 ; 	11,97 ; 	64 ; 	10,36 ; 	80 ; 	12,94 ; 	3 ; 	0,49 ; 	5 ; 	0,81 ; 	25 ; 	4,05 ;6/7/09;6/7/09;6/7/09;6/7/09
41745;Unterach am Attersee          ;1.119; 	496 ; 	44,33 ; 	18 ; 	3,63 ; 	478 ; 	96,37 ; 	108 ; 	22,59 ; 	173 ; 	36,19 ; 	92 ; 	19,25 ; 	35 ; 	7,32 ; 	51 ; 	10,67 ; 	2 ; 	0,42 ; 	3 ; 	0,63 ; 	14 ; 	2,93 ;6/7/09;6/7/09;6/7/09;6/7/09
41746;Vöcklabruck                   ;9.208; 	4.442 ; 	48,24 ; 	103 ; 	2,32 ; 	4.339 ; 	97,68 ; 	1.056 ; 	24,34 ; 	1.125 ; 	25,93 ; 	823 ; 	18,97 ; 	519 ; 	11,96 ; 	553 ; 	12,74 ; 	20 ; 	0,46 ; 	32 ; 	0,74 ; 	211 ; 	4,86 ;6/7/09;6/7/09;6/7/09;6/7/09
41747;Vöcklamarkt                   ;3.631; 	1.745 ; 	48,06 ; 	62 ; 	3,55 ; 	1.683 ; 	96,45 ; 	327 ; 	19,43 ; 	604 ; 	35,89 ; 	299 ; 	17,77 ; 	136 ; 	8,08 ; 	241 ; 	14,32 ; 	6 ; 	0,36 ; 	10 ; 	0,59 ; 	60 ; 	3,57 ;6/7/09;6/7/09;6/7/09;6/7/09
41748;Weißenkirchen im Attergau     ;766; 	374 ; 	48,83 ; 	9 ; 	2,41 ; 	365 ; 	97,59 ; 	32 ; 	8,77 ; 	193 ; 	52,88 ; 	50 ; 	13,70 ; 	22 ; 	6,03 ; 	57 ; 	15,62 ; 	0 ; 	0 ; 	0 ; 	0 ; 	11 ; 	3,01 ;6/7/09;6/7/09;6/7/09;6/7/09
41749;Weyregg am Attersee           ;1.249; 	612 ; 	49,00 ; 	4 ; 	0,65 ; 	608 ; 	99,35 ; 	137 ; 	22,53 ; 	227 ; 	37,34 ; 	83 ; 	13,65 ; 	60 ; 	9,87 ; 	75 ; 	12,34 ; 	1 ; 	0,16 ; 	2 ; 	0,33 ; 	23 ; 	3,78 ;6/7/09;6/7/09;6/7/09;6/7/09
41750;Wolfsegg am Hausruck          ;1.598; 	819 ; 	51,25 ; 	24 ; 	2,93 ; 	795 ; 	97,07 ; 	220 ; 	27,67 ; 	208 ; 	26,16 ; 	146 ; 	18,36 ; 	65 ; 	8,18 ; 	103 ; 	12,96 ; 	11 ; 	1,38 ; 	4 ; 	0,50 ; 	38 ; 	4,78 ;6/7/09;6/7/09;6/7/09;6/7/09
41751;Zell am Moos                  ;1.134; 	558 ; 	49,21 ; 	20 ; 	3,58 ; 	538 ; 	96,42 ; 	73 ; 	13,57 ; 	256 ; 	47,58 ; 	75 ; 	13,94 ; 	44 ; 	8,18 ; 	60 ; 	11,15 ; 	1 ; 	0,19 ; 	2 ; 	0,37 ; 	27 ; 	5,02 ;6/7/09;6/7/09;6/7/09;6/7/09
41752;Zell am Pettenfirst           ;923; 	488 ; 	52,87 ; 	20 ; 	4,10 ; 	468 ; 	95,90 ; 	79 ; 	16,88 ; 	184 ; 	39,32 ; 	73 ; 	15,60 ; 	61 ; 	13,03 ; 	46 ; 	9,83 ; 	3 ; 	0,64 ; 	4 ; 	0,85 ; 	18 ; 	3,85 ;6/7/09;6/7/09;6/7/09;6/7/09
41799;Wahlkarten Vöcklabruck                   ;0; 	2.980 ; 	0 ; 	32 ; 	1,07 ; 	2.948 ; 	98,93 ; 	577 ; 	19,57 ; 	1.092 ; 	37,04 ; 	414 ; 	14,04 ; 	475 ; 	16,11 ; 	259 ; 	8,79 ; 	26 ; 	0,88 ; 	26 ; 	0,88 ; 	79 ; 	2,68 ;6/9/09;6/9/09;6/15/09;6/15/09
41800;Bezirk Wels-Land                     ;51.560; 	27.710 ; 	53,74 ; 	602 ; 	2,17 ; 	27.108 ; 	97,83 ; 	6.092 ; 	22,47 ; 	8.339 ; 	30,76 ; 	4.828 ; 	17,81 ; 	1.966 ; 	7,25 ; 	4.298 ; 	15,86 ; 	116 ; 	0,43 ; 	153 ; 	0,56 ; 	1.316 ; 	4,85 ;6/7/09;6/7/09;6/15/09;6/15/09
41801;Aichkirchen                   ;418; 	266 ; 	63,64 ; 	13 ; 	4,89 ; 	253 ; 	95,11 ; 	22 ; 	8,70 ; 	116 ; 	45,85 ; 	45 ; 	17,79 ; 	12 ; 	4,74 ; 	39 ; 	15,42 ; 	1 ; 	0,40 ; 	0 ; 	0 ; 	18 ; 	7,11 ;6/7/09;6/7/09;6/7/09;6/7/09
41802;Bachmanning                   ;473; 	271 ; 	57,29 ; 	10 ; 	3,69 ; 	261 ; 	96,31 ; 	61 ; 	23,37 ; 	87 ; 	33,33 ; 	34 ; 	13,03 ; 	15 ; 	5,75 ; 	50 ; 	19,16 ; 	0 ; 	0 ; 	0 ; 	0 ; 	14 ; 	5,36 ;6/7/09;6/7/09;6/7/09;6/7/09
41803;Bad Wimsbach-Neydharting      ;1.918; 	1.019 ; 	53,13 ; 	18 ; 	1,77 ; 	1.001 ; 	98,23 ; 	216 ; 	21,58 ; 	411 ; 	41,06 ; 	146 ; 	14,59 ; 	55 ; 	5,49 ; 	119 ; 	11,89 ; 	1 ; 	0,10 ; 	7 ; 	0,70 ; 	46 ; 	4,60 ;6/7/09;6/7/09;6/7/09;6/7/09
41804;Buchkirchen                   ;3.043; 	1.594 ; 	52,38 ; 	39 ; 	2,45 ; 	1.555 ; 	97,55 ; 	421 ; 	27,07 ; 	404 ; 	25,98 ; 	340 ; 	21,86 ; 	121 ; 	7,78 ; 	218 ; 	14,02 ; 	4 ; 	0,26 ; 	9 ; 	0,58 ; 	38 ; 	2,44 ;6/7/09;6/7/09;6/7/09;6/7/09
41805;Eberstalzell                  ;1.776; 	885 ; 	49,83 ; 	24 ; 	2,71 ; 	861 ; 	97,29 ; 	68 ; 	7,90 ; 	406 ; 	47,15 ; 	111 ; 	12,89 ; 	47 ; 	5,46 ; 	171 ; 	19,86 ; 	2 ; 	0,23 ; 	4 ; 	0,46 ; 	52 ; 	6,04 ;6/7/09;6/7/09;6/7/09;6/7/09
41806;Edt bei Lambach               ;1.629; 	858 ; 	52,67 ; 	24 ; 	2,80 ; 	834 ; 	97,20 ; 	189 ; 	22,66 ; 	259 ; 	31,06 ; 	147 ; 	17,63 ; 	46 ; 	5,52 ; 	154 ; 	18,47 ; 	3 ; 	0,36 ; 	1 ; 	0,12 ; 	35 ; 	4,20 ;6/7/09;6/7/09;6/7/09;6/7/09
41807;Fischlham                     ;1.052; 	575 ; 	54,66 ; 	12 ; 	2,09 ; 	563 ; 	97,91 ; 	93 ; 	16,52 ; 	257 ; 	45,65 ; 	103 ; 	18,29 ; 	24 ; 	4,26 ; 	63 ; 	11,19 ; 	4 ; 	0,71 ; 	3 ; 	0,53 ; 	16 ; 	2,84 ;6/7/09;6/7/09;6/7/09;6/7/09
41808;Gunskirchen                   ;4.355; 	2.187 ; 	50,22 ; 	50 ; 	2,29 ; 	2.137 ; 	97,71 ; 	478 ; 	22,37 ; 	596 ; 	27,89 ; 	407 ; 	19,05 ; 	134 ; 	6,27 ; 	374 ; 	17,50 ; 	7 ; 	0,33 ; 	15 ; 	0,70 ; 	126 ; 	5,90 ;6/7/09;6/7/09;6/7/09;6/7/09
41809;Holzhausen                    ;583; 	303 ; 	51,97 ; 	13 ; 	4,29 ; 	290 ; 	95,71 ; 	72 ; 	24,83 ; 	101 ; 	34,83 ; 	50 ; 	17,24 ; 	19 ; 	6,55 ; 	38 ; 	13,10 ; 	2 ; 	0,69 ; 	3 ; 	1,03 ; 	5 ; 	1,72 ;6/7/09;6/7/09;6/7/09;6/7/09
41810;Krenglbach                    ;2.360; 	1.227 ; 	51,99 ; 	24 ; 	1,96 ; 	1.203 ; 	98,04 ; 	349 ; 	29,01 ; 	319 ; 	26,52 ; 	206 ; 	17,12 ; 	92 ; 	7,65 ; 	168 ; 	13,97 ; 	6 ; 	0,50 ; 	6 ; 	0,50 ; 	57 ; 	4,74 ;6/7/09;6/7/09;6/7/09;6/7/09
41811;Lambach                       ;2.451; 	1.132 ; 	46,19 ; 	26 ; 	2,30 ; 	1.106 ; 	97,70 ; 	259 ; 	23,42 ; 	313 ; 	28,30 ; 	198 ; 	17,90 ; 	90 ; 	8,14 ; 	173 ; 	15,64 ; 	2 ; 	0,18 ; 	10 ; 	0,90 ; 	61 ; 	5,52 ;6/7/09;6/7/09;6/7/09;6/7/09
41812;Marchtrenk                    ;9.018; 	4.359 ; 	48,34 ; 	77 ; 	1,77 ; 	4.282 ; 	98,23 ; 	1.397 ; 	32,62 ; 	731 ; 	17,07 ; 	949 ; 	22,16 ; 	256 ; 	5,98 ; 	703 ; 	16,42 ; 	26 ; 	0,61 ; 	20 ; 	0,47 ; 	200 ; 	4,67 ;6/7/09;6/7/09;6/7/09;6/7/09
41813;Neukirchen bei Lambach        ;712; 	433 ; 	60,81 ; 	14 ; 	3,23 ; 	419 ; 	96,77 ; 	59 ; 	14,08 ; 	188 ; 	44,87 ; 	70 ; 	16,71 ; 	21 ; 	5,01 ; 	55 ; 	13,13 ; 	3 ; 	0,72 ; 	3 ; 	0,72 ; 	20 ; 	4,77 ;6/7/09;6/7/09;6/7/09;6/7/09
41814;Offenhausen                   ;1.264; 	649 ; 	51,34 ; 	10 ; 	1,54 ; 	639 ; 	98,46 ; 	102 ; 	15,96 ; 	240 ; 	37,56 ; 	76 ; 	11,89 ; 	44 ; 	6,89 ; 	125 ; 	19,56 ; 	0 ; 	0 ; 	1 ; 	0,16 ; 	51 ; 	7,98 ;6/7/09;6/7/09;6/7/09;6/7/09
