Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41221;Pattigham                     ;717; 	308 ; 	42,96 ; 	10 ; 	3,25 ; 	298 ; 	96,75 ; 	128 ; 	42,95 ; 	42 ; 	14,09 ; 	0 ; 	0 ; 	61 ; 	20,47 ; 	34 ; 	11,41 ; 	2 ; 	0,67 ; 	18 ; 	6,04 ; 	2 ; 	0,67 ; 	7 ; 	2,35 ; 	4 ; 	1,34 ; 	0 ; 	0 ;41784,5281575231;41784,5281575231;41784,5281575231;41784,5281575231
41222;Peterskirchen                 ;544; 	250 ; 	45,96 ; 	5 ; 	2,00 ; 	245 ; 	98,00 ; 	144 ; 	58,78 ; 	12 ; 	4,90 ; 	0 ; 	0 ; 	43 ; 	17,55 ; 	20 ; 	8,16 ; 	0 ; 	0 ; 	13 ; 	5,31 ; 	9 ; 	3,67 ; 	2 ; 	0,82 ; 	2 ; 	0,82 ; 	0 ; 	0 ;41784,5764641204;41784,5764641204;41784,5764641204;41784,5764641204
41223;Pramet                        ;812; 	385 ; 	47,41 ; 	13 ; 	3,38 ; 	372 ; 	96,62 ; 	116 ; 	31,18 ; 	56 ; 	15,05 ; 	0 ; 	0 ; 	118 ; 	31,72 ; 	36 ; 	9,68 ; 	3 ; 	0,81 ; 	22 ; 	5,91 ; 	5 ; 	1,34 ; 	7 ; 	1,88 ; 	9 ; 	2,42 ; 	0 ; 	0 ;41784,5369422106;41784,5369422106;41784,5369422106;41784,5369422106
41224;Reichersberg                  ;1.143; 	442 ; 	38,67 ; 	27 ; 	6,11 ; 	415 ; 	93,89 ; 	165 ; 	39,76 ; 	55 ; 	13,25 ; 	0 ; 	0 ; 	123 ; 	29,64 ; 	40 ; 	9,64 ; 	3 ; 	0,72 ; 	13 ; 	3,13 ; 	7 ; 	1,69 ; 	3 ; 	0,72 ; 	6 ; 	1,45 ; 	0 ; 	0 ;41784,5283591435;41784,5283591435;41784,5283591435;41784,5283591435
41225;Ried im Innkreis              ;8.464; 	3.106 ; 	36,70 ; 	80 ; 	2,58 ; 	3.026 ; 	97,42 ; 	747 ; 	24,69 ; 	627 ; 	20,72 ; 	0 ; 	0 ; 	787 ; 	26,01 ; 	440 ; 	14,54 ; 	18 ; 	0,59 ; 	246 ; 	8,13 ; 	30 ; 	0,99 ; 	67 ; 	2,21 ; 	64 ; 	2,12 ; 	0 ; 	0 ;41784,7035043981;41784,7035043981;41784,7054482292;41784,7054482292
41226;St.Georgen b. Obernberg am Inn;454; 	255 ; 	56,17 ; 	12 ; 	4,71 ; 	243 ; 	95,29 ; 	135 ; 	55,56 ; 	17 ; 	7,00 ; 	0 ; 	0 ; 	41 ; 	16,87 ; 	32 ; 	13,17 ; 	1 ; 	0,41 ; 	11 ; 	4,53 ; 	3 ; 	1,23 ; 	2 ; 	0,82 ; 	1 ; 	0,41 ; 	0 ; 	0 ;41784,5207748843;41784,5207748843;41784,5207748843;41784,5207748843
41227;St.Marienkirchen am Hausruck  ;656; 	324 ; 	49,39 ; 	10 ; 	3,09 ; 	314 ; 	96,91 ; 	147 ; 	46,82 ; 	21 ; 	6,69 ; 	0 ; 	0 ; 	88 ; 	28,03 ; 	23 ; 	7,32 ; 	1 ; 	0,32 ; 	20 ; 	6,37 ; 	9 ; 	2,87 ; 	3 ; 	0,96 ; 	2 ; 	0,64 ; 	0 ; 	0 ;41784,5313233449;41784,5313233449;41784,5313233449;41784,5313233449
41228;St.Martin im Innkreis         ;1.310; 	469 ; 	35,80 ; 	13 ; 	2,77 ; 	456 ; 	97,23 ; 	133 ; 	29,17 ; 	80 ; 	17,54 ; 	0 ; 	0 ; 	127 ; 	27,85 ; 	68 ; 	14,91 ; 	1 ; 	0,22 ; 	27 ; 	5,92 ; 	5 ; 	1,10 ; 	7 ; 	1,54 ; 	8 ; 	1,75 ; 	0 ; 	0 ;41784,5772289699;41784,5772289699;41784,5772289699;41784,5772289699
41229;Schildorn                     ;924; 	317 ; 	34,31 ; 	16 ; 	5,05 ; 	301 ; 	94,95 ; 	115 ; 	38,21 ; 	62 ; 	20,60 ; 	0 ; 	0 ; 	61 ; 	20,27 ; 	29 ; 	9,63 ; 	0 ; 	0 ; 	19 ; 	6,31 ; 	2 ; 	0,66 ; 	5 ; 	1,66 ; 	8 ; 	2,66 ; 	0 ; 	0 ;41784,5210233449;41784,5210233449;41784,5210233449;41784,5210233449
41230;Senftenbach                   ;594; 	264 ; 	44,44 ; 	10 ; 	3,79 ; 	254 ; 	96,21 ; 	92 ; 	36,22 ; 	45 ; 	17,72 ; 	0 ; 	0 ; 	64 ; 	25,20 ; 	20 ; 	7,87 ; 	1 ; 	0,39 ; 	18 ; 	7,09 ; 	7 ; 	2,76 ; 	6 ; 	2,36 ; 	1 ; 	0,39 ; 	0 ; 	0 ;41784,5370420949;41784,5370420949;41784,5370420949;41784,5370420949
41231;Taiskirchen im Innkreis       ;1.973; 	855 ; 	43,34 ; 	39 ; 	4,56 ; 	816 ; 	95,44 ; 	348 ; 	42,65 ; 	119 ; 	14,58 ; 	0 ; 	0 ; 	156 ; 	19,12 ; 	83 ; 	10,17 ; 	8 ; 	0,98 ; 	56 ; 	6,86 ; 	13 ; 	1,59 ; 	12 ; 	1,47 ; 	21 ; 	2,57 ; 	0 ; 	0 ;41784,583878206;41784,583878206;41784,583878206;41784,583878206
41232;Tumeltsham                    ;1.249; 	492 ; 	39,39 ; 	23 ; 	4,67 ; 	469 ; 	95,33 ; 	166 ; 	35,39 ; 	44 ; 	9,38 ; 	0 ; 	0 ; 	132 ; 	28,14 ; 	72 ; 	15,35 ; 	2 ; 	0,43 ; 	37 ; 	7,89 ; 	5 ; 	1,07 ; 	3 ; 	0,64 ; 	8 ; 	1,71 ; 	0 ; 	0 ;41784,5315288542;41784,5315288542;41784,5315288542;41784,5315288542
41233;Utzenaich                     ;1.239; 	511 ; 	41,24 ; 	16 ; 	3,13 ; 	495 ; 	96,87 ; 	191 ; 	38,59 ; 	72 ; 	14,55 ; 	0 ; 	0 ; 	120 ; 	24,24 ; 	50 ; 	10,10 ; 	2 ; 	0,40 ; 	34 ; 	6,87 ; 	7 ; 	1,41 ; 	8 ; 	1,62 ; 	11 ; 	2,22 ; 	0 ; 	0 ;41784,5565147801;41784,5565147801;41784,5565147801;41784,5565147801
41234;Waldzell                      ;1.752; 	635 ; 	36,24 ; 	26 ; 	4,09 ; 	609 ; 	95,91 ; 	225 ; 	36,95 ; 	132 ; 	21,67 ; 	0 ; 	0 ; 	150 ; 	24,63 ; 	56 ; 	9,20 ; 	3 ; 	0,49 ; 	24 ; 	3,94 ; 	4 ; 	0,66 ; 	3 ; 	0,49 ; 	12 ; 	1,97 ; 	0 ; 	0 ;41784,5868388079;41784,5868388079;41784,5868388079;41784,5868388079
41235;Weilbach                      ;481; 	246 ; 	51,14 ; 	7 ; 	2,85 ; 	239 ; 	97,15 ; 	113 ; 	47,28 ; 	24 ; 	10,04 ; 	0 ; 	0 ; 	57 ; 	23,85 ; 	25 ; 	10,46 ; 	1 ; 	0,42 ; 	12 ; 	5,02 ; 	1 ; 	0,42 ; 	4 ; 	1,67 ; 	2 ; 	0,84 ; 	0 ; 	0 ;41784,5186830671;41784,5186830671;41784,5190904745;41784,5190904745
41236;Wippenham                     ;449; 	223 ; 	49,67 ; 	13 ; 	5,83 ; 	210 ; 	94,17 ; 	77 ; 	36,67 ; 	62 ; 	29,52 ; 	0 ; 	0 ; 	41 ; 	19,52 ; 	15 ; 	7,14 ; 	0 ; 	0 ; 	7 ; 	3,33 ; 	1 ; 	0,48 ; 	4 ; 	1,90 ; 	3 ; 	1,43 ; 	0 ; 	0 ;41784,5287414699;41784,5287414699;41784,5287414699;41784,5287414699
41299;Wahlkarten Ried im Innkreis              ;0; 	2.575 ; 	0 ; 	70 ; 	2,72 ; 	2.505 ; 	97,28 ; 	665 ; 	26,55 ; 	417 ; 	16,65 ; 	0 ; 	0 ; 	538 ; 	21,48 ; 	463 ; 	18,48 ; 	10 ; 	0,40 ; 	265 ; 	10,58 ; 	30 ; 	1,20 ; 	37 ; 	1,48 ; 	80 ; 	3,19 ; 	0 ; 	0 ;41785,555313044;41785,555313044;41785,555313044;41785,555313044
41300;Bezirk Rohrbach                      ;46.383; 	23.429 ; 	50,51 ; 	1.017 ; 	4,34 ; 	22.412 ; 	95,66 ; 	9.847 ; 	43,94 ; 	3.710 ; 	16,55 ; 	0 ; 	0 ; 	3.587 ; 	16,00 ; 	2.504 ; 	11,17 ; 	85 ; 	0,38 ; 	1.573 ; 	7,02 ; 	400 ; 	1,78 ; 	276 ; 	1,23 ; 	430 ; 	1,92 ; 	0 ; 	0 ;41784,6922104977;41784,6922104977;41785,4723055208;41785,4723055208
41301;Afiesl                        ;326; 	169 ; 	51,84 ; 	11 ; 	6,51 ; 	158 ; 	93,49 ; 	69 ; 	43,67 ; 	27 ; 	17,09 ; 	0 ; 	0 ; 	26 ; 	16,46 ; 	8 ; 	5,06 ; 	1 ; 	0,63 ; 	14 ; 	8,86 ; 	3 ; 	1,90 ; 	4 ; 	2,53 ; 	6 ; 	3,80 ; 	0 ; 	0 ;41784,5368007755;41784,5368007755;41784,5368007755;41784,5368007755
41302;Ahorn                         ;403; 	226 ; 	56,08 ; 	6 ; 	2,65 ; 	220 ; 	97,35 ; 	102 ; 	46,36 ; 	40 ; 	18,18 ; 	0 ; 	0 ; 	45 ; 	20,45 ; 	16 ; 	7,27 ; 	1 ; 	0,45 ; 	6 ; 	2,73 ; 	4 ; 	1,82 ; 	2 ; 	0,91 ; 	4 ; 	1,82 ; 	0 ; 	0 ;41784,5438576042;41784,5438576042;41784,5438576042;41784,5438576042
41303;Aigen im Mühlkreis            ;1.555; 	638 ; 	41,03 ; 	29 ; 	4,55 ; 	609 ; 	95,45 ; 	254 ; 	41,71 ; 	119 ; 	19,54 ; 	0 ; 	0 ; 	105 ; 	17,24 ; 	65 ; 	10,67 ; 	1 ; 	0,16 ; 	48 ; 	7,88 ; 	5 ; 	0,82 ; 	5 ; 	0,82 ; 	7 ; 	1,15 ; 	0 ; 	0 ;41784,578227581;41784,578227581;41784,578227581;41784,578227581
41304;Altenfelden                   ;1.768; 	779 ; 	44,06 ; 	37 ; 	4,75 ; 	742 ; 	95,25 ; 	275 ; 	37,06 ; 	136 ; 	18,33 ; 	0 ; 	0 ; 	152 ; 	20,49 ; 	83 ; 	11,19 ; 	5 ; 	0,67 ; 	52 ; 	7,01 ; 	6 ; 	0,81 ; 	15 ; 	2,02 ; 	18 ; 	2,43 ; 	0 ; 	0 ;41784,585353125;41784,585353125;41784,6054700579;41784,6054700579
41305;Arnreit                       ;884; 	440 ; 	49,77 ; 	17 ; 	3,86 ; 	423 ; 	96,14 ; 	243 ; 	57,45 ; 	41 ; 	9,69 ; 	0 ; 	0 ; 	56 ; 	13,24 ; 	43 ; 	10,17 ; 	0 ; 	0 ; 	24 ; 	5,67 ; 	5 ; 	1,18 ; 	9 ; 	2,13 ; 	2 ; 	0,47 ; 	0 ; 	0 ;41784,5518443634;41784,5518443634;41784,5518443634;41784,5518443634
41306;Atzesberg                     ;372; 	168 ; 	45,16 ; 	12 ; 	7,14 ; 	156 ; 	92,86 ; 	80 ; 	51,28 ; 	21 ; 	13,46 ; 	0 ; 	0 ; 	24 ; 	15,38 ; 	14 ; 	8,97 ; 	0 ; 	0 ; 	8 ; 	5,13 ; 	5 ; 	3,21 ; 	2 ; 	1,28 ; 	2 ; 	1,28 ; 	0 ; 	0 ;41784,5485392014;41784,5485392014;41784,5485392014;41784,5485392014
41307;Auberg                        ;433; 	229 ; 	52,89 ; 	4 ; 	1,75 ; 	225 ; 	98,25 ; 	118 ; 	52,44 ; 	32 ; 	14,22 ; 	0 ; 	0 ; 	31 ; 	13,78 ; 	21 ; 	9,33 ; 	0 ; 	0 ; 	15 ; 	6,67 ; 	1 ; 	0,44 ; 	2 ; 	0,89 ; 	5 ; 	2,22 ; 	0 ; 	0 ;41784,5439377315;41784,5439377315;41784,5439377315;41784,5439377315
41308;Berg bei Rohrbach             ;2.141; 	993 ; 	46,38 ; 	53 ; 	5,34 ; 	940 ; 	94,66 ; 	397 ; 	42,23 ; 	142 ; 	15,11 ; 	0 ; 	0 ; 	142 ; 	15,11 ; 	144 ; 	15,32 ; 	5 ; 	0,53 ; 	69 ; 	7,34 ; 	8 ; 	0,85 ; 	13 ; 	1,38 ; 	20 ; 	2,13 ; 	0 ; 	0 ;41784,6518135417;41784,6518135417;41784,6518135417;41784,6518135417
41309;Haslach an der Mühl           ;2.117; 	1.094 ; 	51,68 ; 	70 ; 	6,40 ; 	1.024 ; 	93,60 ; 	279 ; 	27,25 ; 	329 ; 	32,13 ; 	0 ; 	0 ; 	154 ; 	15,04 ; 	126 ; 	12,30 ; 	5 ; 	0,49 ; 	79 ; 	7,71 ; 	18 ; 	1,76 ; 	16 ; 	1,56 ; 	18 ; 	1,76 ; 	0 ; 	0 ;41784,5798025463;41784,5798025463;41784,5798025463;41784,5798025463
41310;Helfenberg                    ;799; 	457 ; 	57,20 ; 	21 ; 	4,60 ; 	436 ; 	95,40 ; 	187 ; 	42,89 ; 	79 ; 	18,12 ; 	0 ; 	0 ; 	71 ; 	16,28 ; 	48 ; 	11,01 ; 	2 ; 	0,46 ; 	29 ; 	6,65 ; 	5 ; 	1,15 ; 	13 ; 	2,98 ; 	2 ; 	0,46 ; 	0 ; 	0 ;41784,5799423264;41784,5799423264;41784,5799423264;41784,5799423264
41311;Hörbich                       ;336; 	188 ; 	55,95 ; 	17 ; 	9,04 ; 	171 ; 	90,96 ; 	93 ; 	54,39 ; 	10 ; 	5,85 ; 	0 ; 	0 ; 	38 ; 	22,22 ; 	7 ; 	4,09 ; 	5 ; 	2,92 ; 	13 ; 	7,60 ; 	0 ; 	0 ; 	1 ; 	0,58 ; 	4 ; 	2,34 ; 	0 ; 	0 ;41784,5783596065;41784,5783596065;41784,5783596065;41784,5783596065
41312;Hofkirchen im Mühlkreis       ;1.241; 	537 ; 	43,27 ; 	20 ; 	3,72 ; 	517 ; 	96,28 ; 	251 ; 	48,55 ; 	70 ; 	13,54 ; 	0 ; 	0 ; 	83 ; 	16,05 ; 	59 ; 	11,41 ; 	1 ; 	0,19 ; 	34 ; 	6,58 ; 	8 ; 	1,55 ; 	4 ; 	0,77 ; 	7 ; 	1,35 ; 	0 ; 	0 ;41784,5920479167;41784,5920479167;41784,5920479167;41784,5920479167
41313;Julbach                       ;1.316; 	489 ; 	37,16 ; 	22 ; 	4,50 ; 	467 ; 	95,50 ; 	190 ; 	40,69 ; 	130 ; 	27,84 ; 	0 ; 	0 ; 	61 ; 	13,06 ; 	31 ; 	6,64 ; 	2 ; 	0,43 ; 	25 ; 	5,35 ; 	15 ; 	3,21 ; 	3 ; 	0,64 ; 	10 ; 	2,14 ; 	0 ; 	0 ;41784,5440069097;41784,5440069097;41784,5440069097;41784,5440069097
41314;Kirchberg ob der Donau        ;866; 	422 ; 	48,73 ; 	14 ; 	3,32 ; 	408 ; 	96,68 ; 	177 ; 	43,38 ; 	75 ; 	18,38 ; 	0 ; 	0 ; 	62 ; 	15,20 ; 	38 ; 	9,31 ; 	2 ; 	0,49 ; 	40 ; 	9,80 ; 	4 ; 	0,98 ; 	4 ; 	0,98 ; 	6 ; 	1,47 ; 	0 ; 	0 ;41784,5443047106;41784,5443047106;41784,5443047106;41784,5443047106
41315;Klaffer am Hochficht          ;1.075; 	370 ; 	34,42 ; 	19 ; 	5,14 ; 	351 ; 	94,86 ; 	118 ; 	33,62 ; 	90 ; 	25,64 ; 	0 ; 	0 ; 	92 ; 	26,21 ; 	20 ; 	5,70 ; 	1 ; 	0,28 ; 	18 ; 	5,13 ; 	2 ; 	0,57 ; 	2 ; 	0,57 ; 	8 ; 	2,28 ; 	0 ; 	0 ;41784,5382061343;41784,5382061343;41784,5382061343;41784,5382061343
41316;Kleinzell im Mühlkreis        ;1.228; 	567 ; 	46,17 ; 	22 ; 	3,88 ; 	545 ; 	96,12 ; 	222 ; 	40,73 ; 	115 ; 	21,10 ; 	0 ; 	0 ; 	92 ; 	16,88 ; 	52 ; 	9,54 ; 	2 ; 	0,37 ; 	37 ; 	6,79 ; 	5 ; 	0,92 ; 	11 ; 	2,02 ; 	9 ; 	1,65 ; 	0 ; 	0 ;41784,5730496528;41784,5730496528;41784,5730496528;41784,5730496528
41317;Kollerschlag                  ;1.219; 	482 ; 	39,54 ; 	30 ; 	6,22 ; 	452 ; 	93,78 ; 	219 ; 	48,45 ; 	66 ; 	14,60 ; 	0 ; 	0 ; 	82 ; 	18,14 ; 	25 ; 	5,53 ; 	0 ; 	0 ; 	20 ; 	4,42 ; 	33 ; 	7,30 ; 	4 ; 	0,88 ; 	3 ; 	0,66 ; 	0 ; 	0 ;41784,6413037847;41784,6413037847;41784,6413037847;41784,6413037847
41318;Lembach im Mühlkreis          ;1.292; 	600 ; 	46,44 ; 	21 ; 	3,50 ; 	579 ; 	96,50 ; 	247 ; 	42,66 ; 	93 ; 	16,06 ; 	0 ; 	0 ; 	105 ; 	18,13 ; 	45 ; 	7,77 ; 	1 ; 	0,17 ; 	49 ; 	8,46 ; 	16 ; 	2,76 ; 	7 ; 	1,21 ; 	16 ; 	2,76 ; 	0 ; 	0 ;41784,6845230671;41784,6845230671;41784,6845230671;41784,6845230671
41319;Lichtenau im Mühlkreis        ;444; 	212 ; 	47,75 ; 	15 ; 	7,08 ; 	197 ; 	92,92 ; 	103 ; 	52,28 ; 	36 ; 	18,27 ; 	0 ; 	0 ; 	35 ; 	17,77 ; 	8 ; 	4,06 ; 	2 ; 	1,02 ; 	5 ; 	2,54 ; 	4 ; 	2,03 ; 	2 ; 	1,02 ; 	2 ; 	1,02 ; 	0 ; 	0 ;41784,5246485764;41784,5246485764;41784,5246485764;41784,5246485764
41320;Nebelberg                     ;508; 	239 ; 	47,05 ; 	10 ; 	4,18 ; 	229 ; 	95,82 ; 	123 ; 	53,71 ; 	45 ; 	19,65 ; 	0 ; 	0 ; 	30 ; 	13,10 ; 	13 ; 	5,68 ; 	1 ; 	0,44 ; 	10 ; 	4,37 ; 	3 ; 	1,31 ; 	2 ; 	0,87 ; 	2 ; 	0,87 ; 	0 ; 	0 ;41784,5930002315;41784,5930002315;41784,5930002315;41784,5930002315
41321;Neufelden                     ;989; 	481 ; 	48,63 ; 	18 ; 	3,74 ; 	463 ; 	96,26 ; 	190 ; 	41,04 ; 	81 ; 	17,49 ; 	0 ; 	0 ; 	58 ; 	12,53 ; 	73 ; 	15,77 ; 	0 ; 	0 ; 	34 ; 	7,34 ; 	10 ; 	2,16 ; 	2 ; 	0,43 ; 	15 ; 	3,24 ; 	0 ; 	0 ;41784,5901904745;41784,5901904745;41784,5901904745;41784,5901904745
41322;Niederkappel                  ;808; 	452 ; 	55,94 ; 	34 ; 	7,52 ; 	418 ; 	92,48 ; 	222 ; 	53,11 ; 	42 ; 	10,05 ; 	0 ; 	0 ; 	83 ; 	19,86 ; 	18 ; 	4,31 ; 	0 ; 	0 ; 	24 ; 	5,74 ; 	19 ; 	4,55 ; 	5 ; 	1,20 ; 	5 ; 	1,20 ; 	0 ; 	0 ;41784,5745878125;41784,5745878125;41784,5745878125;41784,5745878125
41323;Niederwaldkirchen             ;1.439; 	722 ; 	50,17 ; 	18 ; 	2,49 ; 	704 ; 	97,51 ; 	333 ; 	47,30 ; 	108 ; 	15,34 ; 	0 ; 	0 ; 	112 ; 	15,91 ; 	81 ; 	11,51 ; 	2 ; 	0,28 ; 	49 ; 	6,96 ; 	7 ; 	0,99 ; 	3 ; 	0,43 ; 	9 ; 	1,28 ; 	0 ; 	0 ;41784,5575646181;41784,5575646181;41784,5575646181;41784,5575646181
41324;Oberkappel                    ;551; 	224 ; 	40,65 ; 	14 ; 	6,25 ; 	210 ; 	93,75 ; 	124 ; 	59,05 ; 	23 ; 	10,95 ; 	0 ; 	0 ; 	31 ; 	14,76 ; 	7 ; 	3,33 ; 	0 ; 	0 ; 	8 ; 	3,81 ; 	10 ; 	4,76 ; 	2 ; 	0,95 ; 	5 ; 	2,38 ; 	0 ; 	0 ;41784,5784715625;41784,5784715625;41784,5784715625;41784,5784715625
41325;Oepping                       ;1.284; 	569 ; 	44,31 ; 	22 ; 	3,87 ; 	547 ; 	96,13 ; 	260 ; 	47,53 ; 	69 ; 	12,61 ; 	0 ; 	0 ; 	78 ; 	14,26 ; 	70 ; 	12,80 ; 	2 ; 	0,37 ; 	44 ; 	8,04 ; 	8 ; 	1,46 ; 	7 ; 	1,28 ; 	9 ; 	1,65 ; 	0 ; 	0 ;41784,5785954051;41784,5785954051;41784,5785954051;41784,5785954051
41326;Peilstein im Mühlviertel      ;1.293; 	567 ; 	43,85 ; 	31 ; 	5,47 ; 	536 ; 	94,53 ; 	274 ; 	51,12 ; 	92 ; 	17,16 ; 	0 ; 	0 ; 	61 ; 	11,38 ; 	43 ; 	8,02 ; 	3 ; 	0,56 ; 	26 ; 	4,85 ; 	9 ; 	1,68 ; 	6 ; 	1,12 ; 	22 ; 	4,10 ; 	0 ; 	0 ;41784,6922104977;41784,6922104977;41784,6922104977;41784,6922104977
41327;Pfarrkirchen im Mühlkreis     ;1.167; 	516 ; 	44,22 ; 	18 ; 	3,49 ; 	498 ; 	96,51 ; 	268 ; 	53,82 ; 	49 ; 	9,84 ; 	0 ; 	0 ; 	87 ; 	17,47 ; 	38 ; 	7,63 ; 	1 ; 	0,20 ; 	34 ; 	6,83 ; 	6 ; 	1,20 ; 	7 ; 	1,41 ; 	8 ; 	1,61 ; 	0 ; 	0 ;41784,5844751505;41784,5844751505;41784,5844751505;41784,5844751505
41328;Putzleinsdorf                 ;1.254; 	504 ; 	40,19 ; 	28 ; 	5,56 ; 	476 ; 	94,44 ; 	219 ; 	46,01 ; 	47 ; 	9,87 ; 	0 ; 	0 ; 	79 ; 	16,60 ; 	51 ; 	10,71 ; 	1 ; 	0,21 ; 	38 ; 	7,98 ; 	26 ; 	5,46 ; 	10 ; 	2,10 ; 	5 ; 	1,05 ; 	0 ; 	0 ;41784,6558809838;41784,6558809838;41784,6558809838;41784,6558809838
41329;Neustift im Mühlkreis         ;1.162; 	481 ; 	41,39 ; 	30 ; 	6,24 ; 	451 ; 	93,76 ; 	253 ; 	56,10 ; 	75 ; 	16,63 ; 	0 ; 	0 ; 	46 ; 	10,20 ; 	43 ; 	9,53 ; 	2 ; 	0,44 ; 	18 ; 	3,99 ; 	6 ; 	1,33 ; 	5 ; 	1,11 ; 	3 ; 	0,67 ; 	0 ; 	0 ;41784,5676097222;41784,5676097222;41784,5676097222;41784,5676097222
41330;Rohrbach in Oberösterreich    ;2.019; 	858 ; 	42,50 ; 	18 ; 	2,10 ; 	840 ; 	97,90 ; 	339 ; 	40,36 ; 	132 ; 	15,71 ; 	0 ; 	0 ; 	127 ; 	15,12 ; 	132 ; 	15,71 ; 	0 ; 	0 ; 	60 ; 	7,14 ; 	14 ; 	1,67 ; 	11 ; 	1,31 ; 	25 ; 	2,98 ; 	0 ; 	0 ;41784,6385905903;41784,6385905903;41784,6385905903;41784,6385905903
41331;St.Johann am Wimberg          ;835; 	425 ; 	50,90 ; 	22 ; 	5,18 ; 	403 ; 	94,82 ; 	154 ; 	38,21 ; 	55 ; 	13,65 ; 	0 ; 	0 ; 	102 ; 	25,31 ; 	47 ; 	11,66 ; 	2 ; 	0,50 ; 	24 ; 	5,96 ; 	5 ; 	1,24 ; 	5 ; 	1,24 ; 	9 ; 	2,23 ; 	0 ; 	0 ;41784,5401681713;41784,5401681713;41784,5401681713;41784,5401681713
41332;St.Martin im Mühlkreis        ;2.942; 	1.302 ; 	44,26 ; 	55 ; 	4,22 ; 	1.247 ; 	95,78 ; 	507 ; 	40,66 ; 	232 ; 	18,60 ; 	0 ; 	0 ; 	213 ; 	17,08 ; 	147 ; 	11,79 ; 	9 ; 	0,72 ; 	91 ; 	7,30 ; 	14 ; 	1,12 ; 	13 ; 	1,04 ; 	21 ; 	1,68 ; 	0 ; 	0 ;41784,5926697569;41784,5926697569;41784,5926697569;41784,5926697569
41333;St.Oswald bei Haslach         ;425; 	189 ; 	44,47 ; 	19 ; 	10,05 ; 	170 ; 	89,95 ; 	88 ; 	51,76 ; 	27 ; 	15,88 ; 	0 ; 	0 ; 	22 ; 	12,94 ; 	20 ; 	11,76 ; 	0 ; 	0 ; 	9 ; 	5,29 ; 	0 ; 	0 ; 	0 ; 	0 ; 	4 ; 	2,35 ; 	0 ; 	0 ;41784,521124537;41784,521124537;41784,521124537;41784,521124537
41334;St.Peter am Wimberg           ;1.440; 	676 ; 	46,94 ; 	27 ; 	3,99 ; 	649 ; 	96,01 ; 	320 ; 	49,31 ; 	90 ; 	13,87 ; 	0 ; 	0 ; 	92 ; 	14,18 ; 	72 ; 	11,09 ; 	3 ; 	0,46 ; 	43 ; 	6,63 ; 	17 ; 	2,62 ; 	7 ; 	1,08 ; 	5 ; 	0,77 ; 	0 ; 	0 ;41784,5814115741;41784,5814115741;41784,5814115741;41784,5814115741
41335;St.Stefan am Walde            ;668; 	355 ; 	53,14 ; 	15 ; 	4,23 ; 	340 ; 	95,77 ; 	154 ; 	45,29 ; 	62 ; 	18,24 ; 	0 ; 	0 ; 	31 ; 	9,12 ; 	46 ; 	13,53 ; 	2 ; 	0,59 ; 	26 ; 	7,65 ; 	12 ; 	3,53 ; 	3 ; 	0,88 ; 	4 ; 	1,18 ; 	0 ; 	0 ;41784,5440592593;41784,5440592593;41784,5440592593;41784,5440592593
41336;St.Ulrich im Mühlkreis        ;499; 	257 ; 	51,50 ; 	8 ; 	3,11 ; 	249 ; 	96,89 ; 	112 ; 	44,98 ; 	38 ; 	15,26 ; 	0 ; 	0 ; 	24 ; 	9,64 ; 	38 ; 	15,26 ; 	0 ; 	0 ; 	28 ; 	11,24 ; 	0 ; 	0 ; 	2 ; 	0,80 ; 	7 ; 	2,81 ; 	0 ; 	0 ;41784,5441180208;41784,5441180208;41784,5441180208;41784,5441180208
41337;St.Veit im Mühlkreis          ;1.000; 	482 ; 	48,20 ; 	22 ; 	4,56 ; 	460 ; 	95,44 ; 	215 ; 	46,74 ; 	64 ; 	13,91 ; 	0 ; 	0 ; 	86 ; 	18,70 ; 	42 ; 	9,13 ; 	1 ; 	0,22 ; 	33 ; 	7,17 ; 	7 ; 	1,52 ; 	6 ; 	1,30 ; 	6 ; 	1,30 ; 	0 ; 	0 ;41784,5441729977;41784,5441729977;41784,5441729977;41784,5441729977
41338;Sarleinsbach                  ;1.870; 	894 ; 	47,81 ; 	40 ; 	4,47 ; 	854 ; 	95,53 ; 	429 ; 	50,23 ; 	89 ; 	10,42 ; 	0 ; 	0 ; 	143 ; 	16,74 ; 	92 ; 	10,77 ; 	4 ; 	0,47 ; 	54 ; 	6,32 ; 	25 ; 	2,93 ; 	11 ; 	1,29 ; 	7 ; 	0,82 ; 	0 ; 	0 ;41784,5799908218;41784,5799908218;41784,5799908218;41784,5799908218
